title,date
中国华电集团有限公司河南公司招聘公告,Fri Mar 01 2019 10:19:15 GMT+0800 (CST)
中国华电集团财务有限公司招聘公告,Fri Mar 01 2019 10:16:33 GMT+0800 (CST)
河北华电曹妃甸储运有限公司招聘公告,Thu Feb 21 2019 11:00:00 GMT+0800 (CST)
华电集团北京燃料物流有限公司招聘公告,Tue Jan 29 2019 14:00:00 GMT+0800 (CST)
北京华电电子商务科技有限公司招聘公告,Wed Jan 16 2019 15:15:00 GMT+0800 (CST)
中国华电科工集团有限公司招聘公告,Thu Jan 03 2019 15:00:00 GMT+0800 (CST)
华电电力科学研究院有限公司招聘公告,Thu Nov 29 2018 11:22:19 GMT+0800 (CST)
湖南华电常德发电有限公司面向系统内招聘的公告,Thu Nov 29 2018 11:07:22 GMT+0800 (CST)
湖南华电长沙发电有限公司面向系统内招聘的公告,Thu Nov 29 2018 11:05:34 GMT+0800 (CST)
中国华电科工集团有限公司面向系统内招聘的公告,Thu Nov 22 2018 13:33:09 GMT+0800 (CST)
中国华电集团有限公司2019年&ensp;“骏才计划招聘”和“普通校园招聘”公告,Thu Nov 08 2018 13:44:34 GMT+0800 (CST)
中国华电集团华电电力科学研究院招聘公告,Fri Oct 26 2018 09:06:25 GMT+0800 (CST)
中国华电集团物资有限公司（华电招标有限公司）招聘公告,Thu Oct 18 2018 11:01:44 GMT+0800 (CST)
中国华电集团有限公司上海公司面向系统内招聘的公告,Fri Oct 12 2018 19:29:22 GMT+0800 (CST)
中国华电科工集团有限公司面向系统内招聘的公告,Fri Oct 12 2018 19:26:48 GMT+0800 (CST)
华电广西能源有限公司面向系统内招聘的公告,Tue Oct 09 2018 15:51:35 GMT+0800 (CST)
中国华电集团资本控股有限公司招聘公告,Fri Sep 28 2018 13:41:28 GMT+0800 (CST)
中国华电集团财务有限公司招聘公告,Wed Sep 05 2018 15:56:11 GMT+0800 (CST)
中国华电集团发电运营有限公司面向系统内招聘的公告,Sun Sep 02 2018 10:06:02 GMT+0800 (CST)
华电福新能源股份有限公司面向系统内招聘的公告,Tue Aug 14 2018 10:46:34 GMT+0800 (CST)
华电金沙江上游水电开发有限公司面向系统内招聘的公告,Fri Jul 27 2018 15:50:46 GMT+0800 (CST)
华电广西能源有限公司面向系统内招聘的公告,Fri Jul 27 2018 15:39:57 GMT+0800 (CST)
中国华电集团有限公司浙江公司面向系统内招聘的公告,Fri Jul 27 2018 15:38:19 GMT+0800 (CST)
北京华滨物业管理有限公司招聘公告,Thu Jul 26 2018 09:15:14 GMT+0800 (CST)
中国华电集团有限公司湖南分公司面向系统内招聘的公告,Wed Jul 25 2018 14:33:19 GMT+0800 (CST)
中国华电集团有限公司天津公司面向系统内招聘的公告,Wed Jul 25 2018 14:31:03 GMT+0800 (CST)
中共中国华电集团有限公司党校（中国华电集团高级培训中心有限公司）面向系统内招聘的公告,Tue Jul 03 2018 09:59:49 GMT+0800 (CST)
北京华电北燃能源有限公司面向系统内招聘的公告,Fri Jun 29 2018 16:46:21 GMT+0800 (CST)
华电福新江门能源有限公司面向系统内招聘的公告,Fri Jun 29 2018 15:19:57 GMT+0800 (CST)
中国华电集团电力建设技术经济咨询中心有限公司招聘公告,Thu Jun 28 2018 14:53:12 GMT+0800 (CST)
中国华电集团清洁能源有限公司华南分公司面向系统内招聘的公告,Wed Jun 27 2018 12:26:16 GMT+0800 (CST)
中国华电集团清洁能源有限公司&ensp;华东分公司面向系统内招聘的公告,Wed Jun 27 2018 12:24:20 GMT+0800 (CST)
中国华电集团有限公司河南公司面向系统内招聘的公告,Wed Jun 20 2018 15:15:48 GMT+0800 (CST)
陕西华电榆横煤电有限责任公司榆横发电厂面向系统内公开招聘公告,Thu May 24 2018 13:35:23 GMT+0800 (CST)
中国华电集团资本控股有限公司招聘公告,Wed May 16 2018 20:47:01 GMT+0800 (CST)
华电陕西能源有限公司面向系统内招聘的公告,Wed May 16 2018 08:59:28 GMT+0800 (CST)
华电西藏能源有限公司面向系统内招聘的公告,Fri May 11 2018 17:52:17 GMT+0800 (CST)
中国华电集团清洁能源有限公司&ensp;华南分公司招聘公告,Fri May 11 2018 15:30:47 GMT+0800 (CST)
华电国际电力股份有限公司清远分公司面向系统内招聘的公告,Fri May 11 2018 15:10:44 GMT+0800 (CST)
中国华电集团资本控股有限公司招聘公告,Wed May 02 2018 13:51:02 GMT+0800 (CST)
华信保险经纪有限公司招聘公告,Wed May 02 2018 13:49:02 GMT+0800 (CST)
北京华电电子商务科技有限公司招聘公告,Tue Apr 10 2018 11:24:16 GMT+0800 (CST)
中国华电集团有限公司2018年“骏才计划”招聘公告,Wed Mar 21 2018 10:44:09 GMT+0800 (CST)
中国华电集团物资有限公司（华电招标有限公司）招聘公告,Fri Mar 09 2018 10:49:58 GMT+0800 (CST)
中国华电集团华电电力科学研究院招聘公告,Tue Jan 30 2018 19:14:23 GMT+0800 (CST)
华电西藏能源有限公司公开招聘公告,Thu Jan 18 2018 11:09:30 GMT+0800 (CST)
华电集团北京燃料物流有限公司相关分公司招聘公告,Wed Jan 17 2018 15:37:17 GMT+0800 (CST)
华电国际电力股份有限公司天津开发区分公司招聘人员的公告,Tue Jan 16 2018 19:32:32 GMT+0800 (CST)
中国华电集团有限公司2018年招聘简介,Mon Jan 08 2018 18:00:11 GMT+0800 (CST)
中国华电集团清洁能源有限公司华南分公司招聘公告,Tue Dec 12 2017 09:27:56 GMT+0800 (CST)
中国华电集团公司系统内招聘审计人员公告,Thu Nov 16 2017 15:37:17 GMT+0800 (CST)
湖北金源水电发展有限责任公司人员招聘公告,Mon Oct 23 2017 16:12:39 GMT+0800 (CST)
河北华电沽源风电有限公司市场化用工招聘公告,Fri Oct 13 2017 08:42:35 GMT+0800 (CST)
内蒙古华电蒙能金通煤业有限公司招聘工作人员的公告,Mon Sep 11 2017 17:57:36 GMT+0800 (CST)
鄂尔多斯市神通煤炭有限公司招聘工作人员的公告,Mon Sep 11 2017 17:55:50 GMT+0800 (CST)
浙江公司所属单位面向云南区域系统内招聘工作人员的公告,Wed Aug 30 2017 15:26:36 GMT+0800 (CST)
乌江公司所属单位面向四川、云南区域系统内招聘工作人员的公告,Wed Aug 30 2017 15:25:05 GMT+0800 (CST)
华电福新广州能源有限公司面向系统内招聘工作人员的公告,Wed Aug 30 2017 15:20:31 GMT+0800 (CST)
华电国际电力股份有限公司天津开发区分公司招聘工作人员的公告,Fri Jul 28 2017 14:45:40 GMT+0800 (CST)
中国华电集团财务有限公司招聘工作人员的公告,Wed Jul 26 2017 08:59:49 GMT+0800 (CST)
中国华电集团物资有限公司（华电招标有限公司）招聘公告,Tue Jul 18 2017 09:23:26 GMT+0800 (CST)
中国华电集团科学技术研究总院有限公司招聘工作人员的公告,Mon Jul 17 2017 15:31:48 GMT+0800 (CST)
