title,date
大唐环境产业集团股份有限公司所属大唐电力设计研究院招聘公告,2016-07-12已结束
大唐环境产业集团股份有限公司所属大唐（北京）水务工程技术有限公司招聘公告,2016-07-11已结束
大唐平罗发电有限公司部分岗位招聘启事,2016-07-11已结束
大唐新能源辽宁公司风电运维人员招聘启事,2016-06-29已结束
江苏大唐国际金坛热电有限责任公司招聘启事,2016-06-29已结束
大唐新能源河南公司2016年生产骨干招聘公告,2016-06-29已结束
大唐昌裕（北京）新能源有限公司部分岗位社会招聘启事,2016-06-29已结束
大唐新能源西南公司2016年度第一次技术骨干招聘公告,2016-06-24已结束
大唐新能源陕西公司公开招聘公告,2016-06-24已结束
中国大唐集团资本控股有限公司招聘启事,2016-06-24已结束
大唐新能源通辽公司风电运维人员招聘启事,2016-06-24已结束
大唐新能源山西公司生产技术骨干社会招聘启事,2016-06-21已结束
大唐新能源广东公司生产技术骨干招聘公告,2016-06-21已结束
大唐新能源安徽公司2016年生产技术骨干招聘启事,2016-06-21已结束
大唐贵州兴仁电厂部分岗位社会招聘启事,2016-06-02已结束
大唐陇东能源有限公司2016年社会招聘启事,2016-05-30已结束
大唐融资租赁有限公司2016年度社会招聘启事,2016-05-20已结束
重庆渝能产业（集团）有限公司2016年招聘启示,2016-05-17已结束
中国大唐集团海外投资有限公司招聘公告,2016-05-10已结束
中国大唐集团海外技术服务有限公司招聘公告,2016-05-10已结束
浙江大唐乌沙山发电有限责任公司招聘启事,2016-05-09已结束
大唐绥化热电有限公司招聘公告,2016-05-06已结束
大唐环境产业集团股份有限公司环保分公司招聘公告,2016-04-29已结束
江苏大唐国际吕四港发电有限责任公司招聘启事,2016-04-29已结束
山西大唐国际云冈热电有限责任公司招聘启事,2016-04-21已结束
河北大唐国际王滩发电有限责任公司招聘启事,2016-04-20已结束
江西大唐国际抚州发电有限责任公司招聘启事,2016-04-19已结束
大唐（北京）能源管理有限公司公开招聘公告,2016-04-15已结束
内蒙古大唐国际新能源有限公司招聘启事,2016-04-06已结束
大唐山西新能源有限公司招聘公告,2016-03-29已结束
大唐融资租赁有限公司2016年招聘启事,2016-03-28已结束
重庆大唐国际石柱发电有限责任公司招聘启事,2016-03-28已结束
大唐环境产业集团股份有限公司机械输送事业部招聘启事,2016-03-28已结束
大唐新疆发电有限公司所属企业2016年度招聘公告,2016-03-25已结束
中国大唐集团科技工程有限公司招聘启事,2016-03-22已结束
沈阳华创风能有限公司招聘启事,2016-03-18已结束
北京大唐泰信保险经纪有限公司招聘启事,2016-03-14已结束
山西大唐国际临汾热电有限责任公司招聘启事,2016-03-09已结束
中国大唐集团资本控股有限公司招聘启事,2016-02-04已结束
天津大唐国际盘山发电有限责任公司招聘启事,2016-01-21已结束
江西大唐国际抚州发电有限责任公司招聘启事,2016-01-15已结束
广东大唐国际潮州发电有限责任公司招聘启事,2016-01-15已结束
福建大唐国际宁德发电有限责任公司维护部招聘启事,2016-01-15已结束
北京大唐泰信保险经纪有限公司招聘启事,2016-01-13已结束
北京唐韵山庄酒店有限责任公司招聘公告,2016-01-12已结束
大唐环境产业集团股份有限公司招聘公告,2016-01-08已结束
大唐环境产业集团股份有限公司所属特许经营事业部招聘公告,2016-01-07已结束
中国大唐集团海外投资有限公司招聘公告,2016-01-04已结束
四川大唐国际甘孜水电开发有限公司招聘启事,2015-12-31已结束
北京唐韵山庄酒店有限责任公司招聘公告,2015-12-25已结束
北京唐韵山庄酒店有限责任公司招聘公告,2015-12-07已结束
重庆渝能产业（集团）有限公司2015年招聘启示,2015-12-04已结束
江西大唐国际新能源有限公司招聘启事,2015-11-25已结束
云南大唐国际李仙江流域水电开发有限公司招聘启事,2015-11-25已结束
上海大唐融资租赁有限公司招聘启事,2015-11-20已结束
北京唐韵山庄酒店有限责任公司招聘公告,2015-11-11已结束
内蒙古大唐国际克什克腾煤制天然气有限责任公司招聘启事,2015-11-11已结束
2015大唐呼伦贝尔化肥有限公司招聘公告,2015-11-10已结束
大唐内蒙古多伦煤化工有限责任公司招聘启事,2015-11-10已结束
中国大唐集团技术经济研究院招聘公告,2015-10-19已结束
大唐云南发电有限公司2015年所属企业招聘启事,2015-10-13已结束
四川金康电力发展有限公司招聘启事,2015-10-12已结束
云南大唐国际新能源有限公司招聘启事,2015-09-16已结束
中国大唐集团技术经济研究院招聘公告,2015-09-08已结束
大唐贵州发耳发电有限公司部分岗位社会化招聘启事,2015-09-06已结束
中国大唐集团资本控股有限公司招聘启事,2015-08-20已结束
四川大唐国际甘孜水电开发有限公司招聘启事,2015-07-30已结束
重庆渝能产业（集团）有限公司关于招聘资金调度主管的公告,2015-07-21已结束
中国大唐集团技术经济研究院招聘公告,2015-07-13已结束
中国大唐集团财务有限公司招聘启事,2015-07-13已结束
大唐四川发电有限公司2015年社会招聘公告,2015-07-01已结束
重庆渝能产业（集团）有限公司关于招聘成本管理人员的公告,2015-06-30已结束
2015年重庆大唐国际武隆水电开发有限公司招聘启事,2015-06-04已结束
中国大唐集团公司总部及系统企业相关岗位招聘公告,2015-05-21已结束
四川大唐国际甘孜水电开发有限公司招聘启事,2015-05-14已结束
江西大唐国际抚州发电有限责任公司招聘启事,2015-05-06已结束
大唐科技产业集团有限公司所属企业招聘公告,2015-05-05已结束
大唐科技产业集团有限公司所属沈阳华创风能有限公司（生产一线人员）招聘公告,2015-05-05已结束
中国大唐集团财务有限公司招聘启事,2015-04-27已结束
上海大唐融资租赁有限公司招聘启事,2015-04-20已结束
大唐融资租赁有限公司2015年招聘启事,2015-04-07已结束
中国大唐集团海外投资有限公司招聘公告,2015-03-27已结束
中国大唐集团煤业有限责任公司所属企业2015年招聘启事,2015-03-27已结束
辽宁大唐国际新能源有限公司招聘启事,2015-03-18已结束
中国大唐集团财务有限公司招聘启事,2015-02-04已结束
大唐新疆准东五彩湾电厂2015年招聘公告,2015-01-21已结束
重庆渝能产业（集团）有限公司关于招聘助理景观工程师的公告,2015-01-13已结束
大唐科技产业集团有限公司招聘公告,2014-12-26已结束
中国大唐集团技术经济研究院招聘公告,2014-12-17已结束
中国大唐集团资本控股有限公司招聘启事,2014-10-13已结束
江西大唐国际抚州发电有限责任公司招聘启事,2014-09-30已结束
大唐贵州发电有限公司所属企业招聘启事,2014-09-12已结束
关于重庆渝能产业（集团）有限公司招聘项目公司内业工程师的公告,2014-07-24已结束
中国大唐集团资本控股有限公司招聘启事,2014-07-11已结束
大唐牡丹江能源开发有限公司（大唐东宁水电开发有限公司）招聘启事,2014-06-24已结束
四川大唐国际甘孜水电开发有限公司招聘启事,2014-06-09已结束
大唐贵州发电有限公司所属企业招聘启事,2014-05-12已结束
大唐新疆发电有限公司所属企业招聘公告,2014-04-25已结束
大唐河北发电有限公司所属企业招聘公告,2014-04-16已结束
大唐河北发电有限公司所属企业招聘启事,2014-04-16已结束
浙江大唐国际江山新城热电有限责任公司招聘启事,2014-04-11已结束
大唐云南分公司2014年所属企业招聘启事,2014-04-03已结束
中国大唐集团海外投资有限公司境外项目招聘公告,2014-04-02已结束
关于重庆渝能产业（集团）有限公司招聘电气设计主管的公告,2014-04-01已结束
中国大唐集团公司政策研究室主任和研究员岗位公开招聘公告,2014-03-26已结束
大唐科技产业集团有限公司北京特许经营分公司招聘公告,2014-03-25已结束
大唐科技产业集团有限公司安徽特许经营分公司招聘公告,2014-03-25已结束
大唐科技产业集团有限公司江苏特许经营分公司招聘公告,2014-03-25已结束
大唐科技产业集团有限公司河南特许经营分公司招聘公告,2014-03-25已结束
四川金康电力发展有限公司招聘启事,2014-02-14已结束
大唐融资租赁有限公司市场化人员招聘启事,2014-02-14已结束
重庆渝能产业（集团）有限公司关于招聘项目副总经理的公告,2014-02-14已结束
大唐新疆发电有限公司所属呼图壁水电厂生产副厂长招聘启事,2013-12-16已结束
